tconst,titleType,originalTitle,primaryTitle,startYear,endYear,runtimeMinutes,genres
tt5654176,short,6 de Enero,6 de Enero,2013,,,"Drama,Short"
tt5740816,tvEpisode,Top 10 Cartoon Video Games,Top 10 Cartoon Video Games,2009,,,"Comedy,Talk-Show"
tt3817236,tvEpisode,Episode dated 3 July 2014,Episode dated 3 July 2014,2014,,60,"News,Talk-Show"
tt6549184,tvEpisode,Episode #1.13,Episode #1.13,1967,,,Family
tt0156347,movie,Belgian Emperor's Visit to India,Belgian Emperor's Visit to India,1921,,,Documentary
tt6292088,short,When They Come,When They Come,2016,,,"Drama,Short"
tt21832008,tvEpisode,The girl who likes to flirt,The girl who likes to flirt,2009,,,Reality-TV
tt23132116,tvEpisode,Episode #1.24,Episode #1.24,2015,,,
tt3090222,tvEpisode,The Incredibles/Saw/Surviving Christmas,The Incredibles/Saw/Surviving Christmas,2005,,,News
tt16247476,tvEpisode,Episode #1.9,Episode #1.9,2019,,,Thriller
tt1530322,tvEpisode,Episode #1.3186,Episode #1.3186,1999,,25,"Drama,Romance"
tt2308597,tvMovie,David Hockney: Augenlust,David Hockney: Augenlust,1996,,,Documentary
tt35636543,tvEpisode,Episode #1.323,Episode #1.323,,,,"Drama,Romance"
tt20158170,tvEpisode,Episode #1.55,Episode #1.55,2018,,,Romance
tt13174880,tvEpisode,Episode dated 30 September 2020,Episode dated 30 September 2020,2020,,,News
tt10085596,tvEpisode,Episode #1.41,Episode #1.41,2015,,,Drama
tt0123034,movie,Dead Man's Curve,The Curve,1998,,91,"Drama,Mystery,Romance"
tt6114580,tvEpisode,Episode #3.5,Episode #3.5,2016,,32,Drama
tt8228776,tvEpisode,Episode #12.28,Episode #12.28,2018,,,"Action,Crime,Drama"
tt14333090,movie,Kallarali Hoovagi,Kallarali Hoovagi,2006,,148,Drama
tt18252874,tvEpisode,"Match Day 1, Fashion Week - Yves Saint Laurent vs. Gianni Versace","Match Day 1, Fashion Week - Yves Saint Laurent vs. Gianni Versace",2022,,24,Game-Show
tt38206272,tvEpisode,Episode #1.1308,Episode #1.1308,1975,,30,News
tt6082378,tvEpisode,Oscar Nomination Surprises for 1989,Oscar Nomination Surprises for 1989,1990,,,Talk-Show
tt1413629,tvEpisode,Episode #2.3,Episode #2.3,2009,,,"Documentary,Reality-TV"
tt27541559,tvEpisode,Episode #1.69,Episode #1.69,,,,Comedy
